XML Link	titleId	contentId	titleName	region
	PPSA01490	EP0001-PPSA01490_00-GAME000000000000	Assassin's Creed® Valhalla	['da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AU', 'en-BG', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-MT', 'en-NO', 'en-NZ', 'en-PL', 'en-RO', 'en-SE', 'en-SI', 'en-SK', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'sv-SE']
	PPSA01532	EP0001-PPSA01532_00-GAME000000000000	Assassin's Creed® Valhalla	['en-TR', 'ru-RU', 'ru-UA', 'tr-TR']
	PPSA01533	EP0001-PPSA01533_00-GAME000000000000	Assassin's Creed® Valhalla	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'en-AE', 'en-BH', 'en-KW', 'en-LB', 'en-OM', 'en-QA', 'en-SA']
	PPSA01504	JP0001-PPSA01504_00-GAME000000000000	Assassin's Creed® Valhalla	['en-HK', 'en-ID', 'en-MY', 'en-SG', 'en-TH', 'en-TW', 'ja-JP', 'ko-KR', 'zh-HK', 'zh-TW']
	PPSA01491	UP0001-PPSA01491_00-GAME000000000000	Assassin's Creed® Valhalla	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-MX', 'en-PE', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR']
	PPSA01325	IP9100-PPSA01325_00-PREINMASTER00000	ASTRO's PLAYROOM	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-HK', 'en-ID', 'en-MX', 'en-MY', 'en-PE', 'en-SG', 'en-TH', 'en-TW', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'ja-JP', 'ko-KR', 'pt-BR', 'zh-HK', 'zh-TW']
	PPSA02094	EP4108-PPSA02094_00-RYZA200000MASTER	Atelier Ryza 2: Lost Legends & the Secret Fairy	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SA', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
	PPSA02093	UP4108-PPSA02093_00-RYZA200000MASTER	Atelier Ryza 2: Lost Legends & the Secret Fairy	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-HK', 'en-ID', 'en-MX', 'en-MY', 'en-PE', 'en-SG', 'en-TH', 'en-TW', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR', 'zh-HK', 'zh-TW']
MISSING	PPSA01696	EP1018-PPSA01696_00	Back 4 Blood: Ultimate Edition PS4 and PS5	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SA', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
MISSING	PPSA01695	UP1018-PPSA01695_00	Back 4 Blood: Ultimate Edition PS4 and PS5	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-HK', 'en-ID', 'en-MX', 'en-MY', 'en-PE', 'en-SG', 'en-TH', 'en-TW', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'ko-KR', 'pt-BR', 'zh-HK', 'zh-TW']
